date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:33	3544/3544	---M--	200	added ('OK')	application/octet-stream	etag:%2278485be9eb03cc7138ed69c1f232e45a%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.woff2	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.woff2	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/flaticon.css)
08:45:34	4356/4356	---M--	200	added ('OK')	application/font-woff	etag:%225d68c3f9e7ffad519d7a84b50796442b%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.woff	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.woff	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/flaticon.css)
08:45:35	6156/6156	---M--	200	added ('OK')	application/font-sfnt	etag:%229989f053a4c4f0d2e3caeb440965fc82%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.ttf	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.ttf	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/flaticon.css)
08:45:36	32755/32755	---M--	200	added ('OK')	image/svg+xml	etag:%223b4cdc6b783cc85cea51e691d59c043a%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.svg	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.svg	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/flaticon.css)
08:45:38	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2031%20Jul%202019%2003:15:37%20GMT	https://fonts.googleapis.com/robots.txt		(from https://storage.googleapis.com/themevessel-products/logdy/main/login-3.html)
08:45:39	91505/91505	---M--	200	added ('OK')	image/jpeg	etag:%22df1bbd844af9c74a14092d63316b01b4%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image.jpg	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image.jpg	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/css/style.css)
08:45:41	220155/220155	---M--	200	added ('OK')	image/jpeg	etag:%221f1b515489a7185adf6b5088a81fe00b%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image-6.jpg	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image-6.jpg	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/css/style.css)
08:45:42	145205/145205	---M--	200	added ('OK')	image/jpeg	etag:%222879accc54c1b22f91f97d7d650ae43f%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image-4.jpg	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image-4.jpg	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/css/style.css)
08:45:43	258522/258522	---M--	200	added ('OK')	image/jpeg	etag:%223f197c9969b0242a2f897c4e1ee8b84c%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image-2.jpg	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image-2.jpg	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/css/style.css)
08:45:45	105331/105331	---M--	200	added ('OK')	image/jpeg	etag:%228266873b24fa85df8d486ac630621570%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image-5.jpg	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/img/bg-image-5.jpg	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/css/style.css)
08:45:46	4402/4402	---M--	200	added ('OK')	text/html	etag:%22ada225f0f8e8b65703ccb1696da0ea4b%22	https://storage.googleapis.com/themevessel-products/logdy/main/forgot-password-3.html	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/forgot-password-3.html	(from https://storage.googleapis.com/themevessel-products/logdy/main/login-3.html)
